PREÇO|QUARTOS|TAMANHO|CONDOMÍNIO|ESTACIONAMENTO|BAIRRO
R$ 410.000|3 quartos | 215m² |R$ 0 | 2 vagas|Aponiã
R$ 600.000|3 quartos | 400m² |R$ 0 | 5 ou mais vagas|Igarapé
R$ 65.000|1 quarto| | | |Nossa Senhora das Graças
R$ 250.000|3 quartos | 72m² |R$ 0 | 1 vaga|Aeroclube
R$ 550.000|3 quartos | 210m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 300.000|3 quartos | 100m² |R$ 550 | 2 vagas|Embratel
R$ 225.000|3 quartos | 47m² |R$ 0 | 2 vagas|Planalto
R$ 350.000|3 quartos | 160m² | | 2 vagas|Igarapé
R$ 350.000|3 quartos | 90m² |R$ 350 | 2 vagas|Nova Porto Velho
R$ 239.000|2 quartos | 51m² |R$ 420 | 1 vaga|Igarapé
R$ 155.000|2 quartos | 90m² |R$ 0 | 1 vaga|Bairro Novo
R$ 20.000|2 quartos | 30m² |R$ 45 | 1 vaga|Floresta
R$ 180.000|3 quartos | 60m² |R$ 130| |Bairro Novo
R$ 39.990|2 quartos | 46m² |R$ 160 | 1 vaga|Bairro Novo
R$ 165.000|3 quartos | 80m² |R$ 0 | 2 vagas|Bairro Novo
R$ 175.000|3 quartos | 90m² |R$ 0 | 2 vagas|Bairro Novo
R$ 830.000|4 quartos | 300m² |R$ 0 | 3 vagas|Flodoaldo Pontes Pinto
R$ 900.000|4 quartos | 330m² |R$ 0 | 2 vagas|São João Bosco
R$ 100.000|2 quartos | 46m² |R$ 160 | 1 vaga|Bairro Novo
R$ 375.000|3 quartos | 104m² |R$ 180 | 1 vaga|Lagoinha
R$ 75.000|2 quartos | |R$ 100| |Socialista
R$ 650.000|4 quartos | 235m² |R$ 0 | 4 vagas|Nossa Senhora das Graças
R$ 850.000|3 quartos | 230m² |R$ 0 | 4 vagas|Panair
R$ 460.000|3 quartos | 140m² |R$ 500 | 2 vagas|Aeroclube
R$ 650.000|3 quartos | 160m² |R$ 350 | 2 vagas|Rio Madeira
R$ 70.000|2 quartos | 42m² |R$ 0 | 1 vaga|Bairro Novo
R$ 330.000|3 quartos | 84m² |R$ 550 | 1 vaga|Rio Madeira
R$ 185.000|3 quartos | 110m² |R$ 0 | 5 ou mais vagas|Igarapé
R$ 530.000|3 quartos | 110m² |R$ 0 | 2 vagas|Olaria
R$ 650.000|3 quartos | 106m² |R$ 900 | 2 vagas|Olaria
R$ 120.000|2 quartos | 120m² | | 2 vagas|Área Rural de Porto Velho
R$ 135.000|2 quartos | 47m² |R$ 290 | 1 vaga|Rio Madeira
R$ 180.000|2 quartos | 51m² |R$ 170 | 1 vaga|Areal
R$ 75.000|2 quartos | |R$ 0 | 1 vaga|Cidade Nova
R$ 180.000|2 quartos | 43m² | | 2 vagas|Três Marias
R$ 0|2 quartos | 0m² |R$ 210 | 1 vaga|Planalto
R$ 550.000|3 quartos | 127m² |R$ 1.100 | 2 vagas|Rio Madeira
R$ 660.000|3 quartos | 110m² |R$ 0 | 2 vagas|Olaria
R$ 330.000|3 quartos | 75m² | | 2 vagas|Rio Madeira
R$ 399.000|3 quartos | 93m² |R$ 850| |Pedrinhas
R$ 792.078|3 quartos | 136m² |R$ 900 | 2 vagas|São João Bosco
R$ 650.000|3 quartos | 185m² |R$ 0 | 2 vagas|São João Bosco
R$ 565.000|5 ou mais quartos | 250m² |R$ 0 | 3 vagas|Flodoaldo Pontes Pinto
R$ 330.000|3 quartos | 76m² |R$ 0 | 1 vaga|Liberdade
R$ 350.000|3 quartos | 160m² |R$ 0| |Escola de Polícia
R$ 450.000|3 quartos | 360m² |R$ 0 | 1 vaga|São João Bosco
R$ 225.000|3 quartos | 250m² |R$ 0 | 2 vagas|Aponiã
R$ 550.000|4 quartos | 190m² |R$ 0 | 4 vagas|Castanheira
R$ 230.000|3 quartos | 100m² | | 2 vagas|Embratel
R$ 330.000|3 quartos | 75m² |R$ 460 | 1 vaga|Rio Madeira
R$ 315.000|2 quartos | 60m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 150.000|2 quartos | 90m² |R$ 0 | 1 vaga|Marcos Freire
R$ 2.145.000|4 quartos | 330m² |R$ 404 | 2 vagas|Bairro Novo
R$ 60.000|3 quartos| | | |Mariana
R$ 399.000|2 quartos | | | 2 vagas|Aponiã
R$ 258.000|3 quartos | 142m² | | 2 vagas|Três Marias
R$ 550.000|3 quartos | 210m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 780.000|2 quartos | 348m² |R$ 0 | 2 vagas|Aeroclube
R$ 470.000|3 quartos | 84m² |R$ 450 | 2 vagas|Lagoa
R$ 310.000|3 quartos | 267m² | | 2 vagas|São Cristóvão
R$ 290.000|3 quartos | 180m² |R$ 0 | 2 vagas|Aponiã
R$ 890.000|3 quartos | 164m² |R$ 0 | 2 vagas|Rio Madeira
R$ 208.000|3 quartos | 87m² |R$ 400 | 2 vagas|Flodoaldo Pontes Pinto
R$ 450.000|3 quartos | 200m² | | 2 vagas|Embratel
R$ 3.200.000|3 quartos | 422m² |R$ 700| |Rio Madeira
R$ 450.000|5 ou mais quartos | 170m² |R$ 0 | 5 ou mais vagas|Flodoaldo Pontes Pinto
R$ 259.999|3 quartos | 90m² |R$ 200 | 2 vagas|Bairro Novo
R$ 170.000|2 quartos | 70m² |R$ 0 | 2 vagas|Planalto
R$ 230.000|1 quarto | 80m² |R$ 0 | 5 ou mais vagas|Ronaldo Aragão
R$ 550.000|3 quartos | 108m² |R$ 0 | 2 vagas|Olaria
R$ 499.000|3 quartos | 129m² |R$ 0 | 2 vagas|Agenor de Carvalho
R$ 220.000|2 quartos | | | 3 vagas|Aponiã
R$ 790.000|3 quartos | 143m² |R$ 550 | 2 vagas|Industrial
R$ 215.000|2 quartos | 66m² |R$ 200 | 1 vaga|Industrial
R$ 1.100.000|3 quartos | 255m² |R$ 2.080 | 3 vagas|Liberdade
R$ 680.000|3 quartos | 200m² | | 2 vagas|Nova Esperança
R$ 980.000|3 quartos | 205m² |R$ 450 | 2 vagas|Cidade Jardim
R$ 1.000.000|5 ou mais quartos | 720m² |R$ 0 | 2 vagas|Escola de Polícia
R$ 35.000|2 quartos | |R$ 35.000 | 1 vaga|Área Rural de Porto Velho
R$ 360.000|2 quartos | 136m² | | 5 ou mais vagas|Aponiã
R$ 145.000|2 quartos | 45m² |R$ 300 | 1 vaga|Aponiã
R$ 315.000|3 quartos | |R$ 238| |Bairro Novo
R$ 500.000|3 quartos | | | 2 vagas|São João Bosco
R$ 190.000|2 quartos | 0m² | | 2 vagas|Aponiã
R$ 280.000|2 quartos | 58m² |R$ 0 | 2 vagas|Rio Madeira
R$ 1.100.000|3 quartos | |R$ 750 | 2 vagas|Nova Esperança
R$ 289.000|3 quartos | |R$ 450 | 1 vaga|Agenor de Carvalho
R$ 315.000|3 quartos | |R$ 238 | 2 vagas|Bairro Novo
R$ 990.000|3 quartos | 154m² |R$ 0 | 2 vagas|Embratel
R$ 580.000|2 quartos | 210m² |R$ 0 | 2 vagas|Liberdade
R$ 120.000|3 quartos| | | |Cidade Nova
R$ 0|3 quartos | 202m² |R$ 1.138 | 2 vagas|Agenor de Carvalho
R$ 650.000|3 quartos | 110m² |R$ 0 | 2 vagas|Olaria
R$ 80.000|2 quartos | 72000m² |R$ 0 | 2 vagas|Tiradentes
R$ 180.000|3 quartos | 180m² |R$ 0| |Baixa União
R$ 85.000|2 quartos | | | 2 vagas|Conceição
R$ 195.000|2 quartos | 108m² |R$ 0 | 1 vaga|Lagoinha
R$ 1.287.000|4 quartos | 306m² |R$ 1.400 | 4 vagas|Lagoa
R$ 300.000|3 quartos | 70m² |R$ 400 | 1 vaga|Agenor de Carvalho
R$ 600.000|3 quartos | 96m² | | 2 vagas|São João Bosco
R$ 850.000|4 quartos | 290m² |R$ 500 | 2 vagas|Liberdade
R$ 380.000|2 quartos | | | 3 vagas|Agenor de Carvalho
R$ 220.000|2 quartos | 150m² |R$ 0| |Juscelino Kubitschek
R$ 1.350.000|4 quartos | 330m² |R$ 1.400 | 4 vagas|Lagoa
R$ 630.000|3 quartos | 120m² |R$ 0 | 3 vagas|Industrial
R$ 220.000|2 quartos | 68m² |R$ 0 | 1 vaga|Embratel
R$ 395.000|3 quartos | 250m² |R$ 0| |Conceição
R$ 450.000|3 quartos | 274m² |R$ 0 | 2 vagas|Embratel
R$ 180.000|3 quartos | 250m² |R$ 0| |Cohab
R$ 400.000|3 quartos | 193m² |R$ 0 | 1 vaga|Cohab
R$ 170.000|2 quartos | 56m² |R$ 0 | 1 vaga|Triângulo
R$ 330.000|3 quartos | 74m² |R$ 450 | 1 vaga|Floresta
R$ 400.000|2 quartos | 74m² |R$ 550 | 1 vaga|Nova Porto Velho
R$ 45.000|2 quartos | |R$ 55 | 2 vagas|Nova Porto Velho
R$ 210.000|3 quartos | | | 1 vaga|Conceição
R$ 300.000|3 quartos | 75m²| | |Triângulo
R$ 1.250.000|4 quartos | 0m² | | 4 vagas|Aeroclube
R$ 180.000|2 quartos | | | 2 vagas|Novo Horizonte
R$ 275.000|4 quartos | 0m² | | 5 ou mais vagas|Floresta
R$ 2.400.000|3 quartos | 400m² | | 3 vagas|Aponiã
R$ 55.500|1 quarto | 0m²| | |Jardim Santana
R$ 380.000|3 quartos | 78m² |R$ 600 | 1 vaga|Rio Madeira
R$ 250.000|3 quartos | 108m² |R$ 250 | 2 vagas|Nossa Senhora das Graças
R$ 230.000|4 quartos | 120m² |R$ 0 | 2 vagas|Aponiã
R$ 550.000|3 quartos | 118m² |R$ 0 | 2 vagas|Pedrinhas
R$ 180.000|2 quartos | 110m² |R$ 0 | 2 vagas|Nova Esperança
R$ 1.590.000|4 quartos | 210m² |R$ 0 | 4 vagas|Aponiã
R$ 490.000|1 quarto | 0m² |R$ 0| |Caladinho
R$ 180.000|3 quartos | 90m² |R$ 0 | 2 vagas|Tancredo Neves
R$ 330.000|3 quartos | 76m² |R$ 532 | 2 vagas|Rio Madeira
R$ 150.000|1 quarto | 80m² |R$ 0 | 2 vagas|Aponiã
R$ 400.000|3 quartos | 41m²| | |Flodoaldo Pontes Pinto
R$ 980.000|3 quartos | 204m² |R$ 0 | 2 vagas|Cidade Jardim
R$ 65.000|3 quartos| | | |Aeroclube
R$ 750.000|3 quartos | 400m² |R$ 0 | 4 vagas|Rio Madeira
R$ 169.073|2 quartos | 52m² |R$ 0 | 1 vaga|Esperança da Comunidade
R$ 1.420.000|3 quartos | 219m² |R$ 0 | 2 vagas|Igarapé
R$ 15.000|2 quartos | | | 1 vaga|Jardim Santana
R$ 130.000|3 quartos | 140m² |R$ 0 | 3 vagas|Nova Esperança
R$ 550.000|3 quartos | 200m² | | 2 vagas|Planalto
R$ 450.000|3 quartos | 220m² | | 4 vagas|Igarapé
R$ 60.000|2 quartos| | | |Nova Porto Velho
R$ 85.000|3 quartos | 61m² |R$ 0 | 2 vagas|Bairro Novo
R$ 360.000|3 quartos | 85m² |R$ 550 | 1 vaga|Rio Madeira
R$ 850.000|3 quartos | 159m² |R$ 303 | 4 vagas|Aponiã
R$ 155.000|2 quartos | 250m² |R$ 0 | 2 vagas|Aponiã
R$ 550.000|2 quartos | 300m² |R$ 0 | 2 vagas|Aponiã
R$ 560.000|3 quartos | 120m² |R$ 350 | 2 vagas|Pedrinhas
R$ 260.000|2 quartos | 140m² |R$ 160 | 2 vagas|Novo Horizonte
R$ 415.000|3 quartos | 85m² |R$ 0 | 2 vagas|Liberdade
R$ 1.250.000|3 quartos | 206m² |R$ 0 | 3 vagas|Embratel
R$ 350.000|4 quartos | 383m² | | 5 ou mais vagas|Nova Porto Velho
R$ 200.000|5 ou mais quartos | 253m² | | 4 vagas|Conceição
R$ 390.000|5 ou mais quartos | 431m² | | 3 vagas|Caladinho
R$ 349.900|5 ou mais quartos | 294m² | | 3 vagas|Nacional
R$ 597.000|2 quartos | 104m² |R$ 600| |Embratel
R$ 400.000|3 quartos | 229m²| | |Flodoaldo Pontes Pinto
R$ 650.000|2 quartos | 150m² |R$ 0 | 5 ou mais vagas|Lagoinha
R$ 70.000|2 quartos | |R$ 164 | 1 vaga|Triângulo
R$ 570.000|3 quartos | 130m² |R$ 350 | 2 vagas|Pedrinhas
R$ 650.000|3 quartos | 160m² |R$ 350 | 2 vagas|Rio Madeira
R$ 330.000|3 quartos | 89m² |R$ 614 | 1 vaga|Rio Madeira
R$ 459.000|3 quartos | 104m² |R$ 0 | 1 vaga|Aeroclube
R$ 170|2 quartos | 41m² | | 2 vagas|Bairro Novo
R$ 300.000|3 quartos | 201m² | | 4 vagas|Eldorado
R$ 95.000|2 quartos| | | |São Cristóvão
R$ 480.000|3 quartos | 0m² |R$ 300| |Rio Madeira
R$ 1.050.000|3 quartos | 211m² |R$ 0 | 2 vagas|Embratel
R$ 950.000|3 quartos | 204m² | | 2 vagas|Nova Porto Velho
R$ 1.500.000| |0m²| | |Aponiã
R$ 150.000|1 quarto| | | |Nossa Senhora das Graças
R$ 450.000|5 ou mais quartos | 250m² |R$ 0 | 4 vagas|Planalto
R$ 380.000|3 quartos | 100m² | | 1 vaga|Nossa Senhora das Graças
R$ 395.000|1 quarto | 150m² |R$ 0 | 3 vagas|Nova Esperança
R$ 195.000|3 quartos | 0m² | | 2 vagas|Aponiã
R$ 330.000|3 quartos | 85m² |R$ 550 | 2 vagas|Rio Madeira
R$ 300.000|2 quartos | 200m² |R$ 0 | 3 vagas|Caladinho
R$ 230.000|2 quartos | 58m² | | 1 vaga|Aponiã
R$ 161.500|2 quartos| | | |Centro
R$ 500.000|3 quartos | 0m² | | 3 vagas|Olaria
R$ 1.350.000|4 quartos | 148m² |R$ 1.250 | 2 vagas|Pedrinhas
R$ 670.000|3 quartos | 116m² |R$ 850 | 2 vagas|São João Bosco
R$ 50.000|2 quartos| | | |Nova Floresta
R$ 280.000|3 quartos | | | 1 vaga|Centro
R$ 280.000|3 quartos | 74m² |R$ 520 | 1 vaga|Liberdade
R$ 650|3 quartos | 100m² | | 2 vagas|Embratel
R$ 1.990.000|5 ou mais quartos | 340m² |R$ 1.750 | 3 vagas|Nossa Senhora das Graças
R$ 370.000|3 quartos | 210m² |R$ 0 | 3 vagas|Aponiã
R$ 30.000|1 quarto | | | 1 vaga|Igarapé
R$ 160.000|4 quartos | 0m²| | |Cohab
R$ 1.000.000|3 quartos | 220m² |R$ 0 | 2 vagas|Aponiã
R$ 550.000|3 quartos | 130m² | | 2 vagas|Igarapé
R$ 449.000|3 quartos | 150m² | | 5 ou mais vagas|Agenor de Carvalho
R$ 560.000|2 quartos | 115m² |R$ 0 | 3 vagas|Lagoa
R$ 100.000|2 quartos | 100m² |R$ 0| |Centro
R$ 225.000|3 quartos | 74m² |R$ 340| |Rio Madeira
R$ 95.000|2 quartos | 63m² |R$ 0| |Área Rural de Porto Velho
R$ 240.000|2 quartos | |R$ 224 | 2 vagas|Novo Horizonte
R$ 380.000|3 quartos | 84m² |R$ 0 | 2 vagas|Rio Madeira
R$ 1.100.000|5 ou mais quartos | 350m² |R$ 880 | 4 vagas|Costa e Silva
R$ 40.000|1 quarto| | | |Lagoinha
R$ 250.000|3 quartos | 170m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 149.999|2 quartos | 70m² | | 2 vagas|Bairro Novo
R$ 600.000|4 quartos | 129m² |R$ 0 | 2 vagas|Santa Bárbara
R$ 670.000|5 ou mais quartos | 425m² |R$ 0 | 5 ou mais vagas|Agenor de Carvalho
R$ 20.000|2 quartos | | | 2 vagas|Aeroclube
R$ 80.000|1 quarto | 60m² |R$ 0 | 4 vagas|Cascalheira
R$ 300.000|3 quartos | | | 2 vagas|Aponiã
R$ 1.450.000|3 quartos | 220m² | | 2 vagas|Olaria
R$ 560.000|3 quartos | 84m² | | 2 vagas|Lagoa
R$ 40.000|2 quartos | 54m²| | |Cidade Jardim
R$ 550.000|3 quartos | 96m² |R$ 500 | 2 vagas|Industrial
R$ 215.000|3 quartos | 90m² |R$ 450 | 1 vaga|Rio Madeira
R$ 300.000|3 quartos | 201m² |R$ 0 | 4 vagas|Eldorado
R$ 1.800.000|4 quartos | 550m² |R$ 1.000 | 3 vagas|Pedrinhas
R$ 850.000|3 quartos | 159m² |R$ 0 | 2 vagas|Rio Madeira
R$ 161.000|2 quartos | 52m² |R$ 0 | 1 vaga|Esperança da Comunidade
R$ 1.400.000|4 quartos | 280m² |R$ 1.500 | 3 vagas|Baixa União
R$ 850.000|3 quartos | 168m² |R$ 990 | 2 vagas|Nossa Senhora das Graças
R$ 60.000|1 quarto | 92m² | | 3 vagas|Planalto
R$ 1.280.000|5 ou mais quartos | 330m² |R$ 550 | 5 ou mais vagas|Nova Porto Velho
R$ 650.000|2 quartos | 107m² |R$ 812 | 2 vagas|Olaria
R$ 620.000|3 quartos | 154m² |R$ 1.139 | 3 vagas|Agenor de Carvalho
R$ 300.000|2 quartos | 150m² |R$ 0 | 3 vagas|Aponiã
R$ 1.100.000|4 quartos | 0m² | | 2 vagas|Nova Porto Velho
R$ 110.000|3 quartos | 140m² |R$ 0| |Ulisses Guimarães
R$ 500.000|3 quartos | 480m² |R$ 0 | 2 vagas|Nova Porto Velho
R$ 54.000|2 quartos | 42m² |R$ 160 | 1 vaga|Bairro Novo
R$ 325.000|3 quartos | 74m² | | 2 vagas|Liberdade
R$ 100.000|3 quartos | | | 2 vagas|Juscelino Kubitschek
R$ 186.000|3 quartos | |R$ 0 | 2 vagas|Bairro Novo
R$ 60.000|2 quartos| | | |Cohab
R$ 660.000|3 quartos | 110m² | | 2 vagas|Olaria
R$ 350.000|3 quartos | 350m² |R$ 0 | 3 vagas|Eldorado
R$ 1.200.000|3 quartos | 216m² |R$ 400 | 4 vagas|Cidade Jardim
R$ 385.000|3 quartos | 90m² |R$ 770 | 1 vaga|Triângulo
R$ 290.000|3 quartos | 220m² | | 2 vagas|Aponiã
R$ 900.000|3 quartos | 300m² | | 3 vagas|Panair
R$ 360.000|2 quartos | 300m² | | 3 vagas|Aponiã
R$ 550.000|3 quartos | 130m² |R$ 350 | 2 vagas|Pedrinhas
R$ 1.050.000|3 quartos | 211m² |R$ 760 | 2 vagas|Cuniã
R$ 870.000|3 quartos | 161m² |R$ 400| |Aponiã
R$ 3.000|2 quartos | | | 1 vaga|Jardim Santana
R$ 300.000|3 quartos | 85m² |R$ 0 | 1 vaga|Rio Madeira
R$ 220.000|3 quartos | 72m² |R$ 350 | 1 vaga|Nova Esperança
R$ 580.000|2 quartos | 96m² |R$ 735 | 2 vagas|São João Bosco
R$ 195.000|2 quartos | 87m² | | 2 vagas|Três Marias
R$ 150.000|2 quartos | 65m² |R$ 465 | 1 vaga|Rio Madeira
R$ 265.000|2 quartos | 52m² |R$ 0 | 1 vaga|Igarapé
R$ 850.000|3 quartos | 236m² |R$ 400 | 2 vagas|Triângulo
R$ 180.000|2 quartos | 54m² |R$ 0| |Bairro Novo
R$ 1.090.000|4 quartos | 360m² |R$ 0| |Nova Porto Velho
R$ 900.000|3 quartos | 1260m² |R$ 0| |Agenor de Carvalho
R$ 500.000|3 quartos | 233m² |R$ 0 | 4 vagas|Rio Madeira
R$ 55.000|1 quarto| | | |Arigolândia
R$ 820.000|3 quartos | 161m² |R$ 0 | 4 vagas|Aponiã
R$ 370.000|4 quartos | 220m² |R$ 0 | 3 vagas|Aponiã
R$ 290.000|3 quartos | 74m² |R$ 400 | 1 vaga|Cuniã
R$ 160.000|2 quartos | 47m² |R$ 0 | 4 vagas|Aeroclube
R$ 1.000.000|5 ou mais quartos | 464m² |R$ 900 | 2 vagas|Panair
R$ 140.000|3 quartos | 61m²| | |Bairro Novo
R$ 115.000|2 quartos | 42m² |R$ 250 | 1 vaga|Bairro Novo
R$ 150.000|2 quartos | 61m² |R$ 250 | 1 vaga|Eletronorte
R$ 230.000|2 quartos | 100m²| | |Três Marias
R$ 450.000|2 quartos | 75m² |R$ 450 | 1 vaga|São João Bosco
R$ 395.000|3 quartos | 250m² | | 2 vagas|Nova Floresta
R$ 550.000|3 quartos | 12000m² |R$ 450 | 2 vagas|Pedrinhas
R$ 180.000|1 quarto | 300m² | | 2 vagas|Castanheira
R$ 210.000|2 quartos | 93m² |R$ 250 | 1 vaga|Embratel
R$ 1.748.000| |2146m²| | |São Cristóvão
R$ 750|2 quartos | 60m²| | |Bairro Novo
R$ 161.000|2 quartos | 52m² |R$ 0 | 1 vaga|Esperança da Comunidade
R$ 452.284|3 quartos | 75m² | | 2 vagas|Rio Madeira
R$ 350.000|3 quartos | 160m² |R$ 0 | 2 vagas|Escola de Polícia
R$ 440.000|2 quartos | 185m² |R$ 0 | 4 vagas|Flodoaldo Pontes Pinto
R$ 30.000|2 quartos | |R$ 30.000| |Aeroclube
R$ 400.000|4 quartos | 400m² | | 2 vagas|Igarapé
R$ 299.990|2 quartos | 875m² | | 5 ou mais vagas|Cohab
R$ 60.000|2 quartos | 47m² |R$ 0 | 3 vagas|Aeroclube
R$ 135.000|3 quartos | 80m² | | 2 vagas|Juscelino Kubitschek
R$ 345.000|2 quartos | 100m² |R$ 0 | 2 vagas|Aponiã
R$ 270.000|2 quartos | 110m² |R$ 250| |Lagoa
R$ 570.000|3 quartos | 1020m² |R$ 0| |São Cristóvão
R$ 140.000|2 quartos | 48m² |R$ 0| |Rio Madeira
R$ 30.000| | | | |Areal
R$ 235.000|2 quartos | 49m² | | 1 vaga|Igarapé
R$ 65.000|2 quartos | 76m² | | 1 vaga|Aeroclube
R$ 290.000|5 ou mais quartos | 360m² |R$ 0 | 2 vagas|Areal
R$ 180.000|2 quartos | 45m² |R$ 0 | 1 vaga|Aeroclube
R$ 65.000|2 quartos | | | 1 vaga|Três Marias
R$ 599.000|3 quartos | 120m² |R$ 0 | 2 vagas|Olaria
R$ 365.000|3 quartos | 85m² |R$ 0 | 2 vagas|Rio Madeira
R$ 1.000.000|4 quartos | 142m² |R$ 0 | 2 vagas|Olaria
R$ 700.000|4 quartos | 476m² | | 4 vagas|Rio Madeira
R$ 2.700.000|4 quartos | 537m² | | 3 vagas|Rio Madeira
R$ 750.000|3 quartos | 144m² |R$ 1.000 | 2 vagas|Rio Madeira
R$ 95.000|3 quartos | 0m² |R$ 0 | 2 vagas|Ulisses Guimarães
R$ 41.000|1 quarto | 17m²| | |Jardim Santana
R$ 65.000|4 quartos | | | 1 vaga|Três Marias
R$ 460.000|3 quartos | 150m² | | 4 vagas|Flodoaldo Pontes Pinto
R$ 700.000|5 ou mais quartos | 500m²| | |Nova Porto Velho
R$ 500.000|3 quartos | 84m² |R$ 460 | 2 vagas|Lagoa
R$ 425.000| |0m²| | |Cohab
R$ 1.200.000|3 quartos | 270m² |R$ 360 | 2 vagas|Nova Esperança
R$ 299.000|3 quartos | 275m² |R$ 0 | 5 ou mais vagas|Marcos Freire
R$ 175.000|2 quartos | |R$ 82| |Novo Horizonte
R$ 550.000|3 quartos | 107m² |R$ 780 | 2 vagas|Olaria
R$ 1.900.000|4 quartos | 182m² |R$ 0 | 5 ou mais vagas|Nova Esperança
R$ 1.300.000|3 quartos | 360m² |R$ 450 | 4 vagas|Nova Esperança
R$ 420.000|3 quartos | 90m² |R$ 450 | 1 vaga|Rio Madeira
R$ 45.000|1 quarto | 200m² | | 1 vaga|Marcos Freire
R$ 35.000| | |Condomínio: R$ 0| |Três Marias
R$ 115.000|2 quartos | 41m² | | 1 vaga|Bairro Novo
R$ 180.000|3 quartos | 100m² |R$ 0 | 3 vagas|Cohab
R$ 45.000|3 quartos | |R$ 0| |Ulisses Guimarães
R$ 300.000|3 quartos | 77m² |R$ 300 | 2 vagas|Agenor de Carvalho
R$ 1.250.000|5 ou mais quartos | 314m² |R$ 1.250.000 | 3 vagas|Rio Madeira
R$ 785.000|3 quartos | 140m² |R$ 450 | 2 vagas|Olaria
R$ 450.000|5 ou mais quartos | 500m² |R$ 0| |Tancredo Neves
R$ 50.000|1 quarto| | | |Tancredo Neves
R$ 1.200.000|3 quartos | | | 3 vagas|Nova Esperança
R$ 299.999|3 quartos | 110m² |R$ 0 | 2 vagas|Rio Madeira
R$ 90.000|1 quarto | 107008m² | | 1 vaga|São João Bosco
R$ 115.000|2 quartos | 42m² |R$ 130 | 1 vaga|Bairro Novo
R$ 1.250.000|4 quartos | 285m² |R$ 0 | 2 vagas|Igarapé
R$ 200.000|2 quartos | 58m² |R$ 620 | 1 vaga|Nova Esperança
R$ 841.000|4 quartos | 173m² |R$ 0 | 2 vagas|Olaria
R$ 320.000|3 quartos | 74m² |R$ 700 | 1 vaga|Agenor de Carvalho
R$ 170.000|3 quartos | 150m² |R$ 0 | 2 vagas|Juscelino Kubitschek
R$ 310.000|3 quartos | 90m² | | 2 vagas|Embratel
R$ 350.000|3 quartos | 85m² |R$ 614 | 1 vaga|Rio Madeira
R$ 720.720|3 quartos | 136m² |R$ 730 | 2 vagas|São João Bosco
R$ 560.000|2 quartos | 105m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 280.000|1 quarto | 250m² |R$ 0 | 4 vagas|Flodoaldo Pontes Pinto
R$ 29.000|3 quartos | 1028m² | | 2 vagas|Esperança da Comunidade
R$ 847.000|4 quartos | |R$ 950 | 3 vagas|Nova Porto Velho
R$ 400.000|3 quartos | 104m² |R$ 0 | 2 vagas|Embratel
R$ 240.000|3 quartos | 77m² |R$ 0 | 2 vagas|Planalto
R$ 350.000|3 quartos | 140m² |R$ 0 | 2 vagas|Aponiã
R$ 1.500.000|4 quartos | 317m² |R$ 1.100 | 4 vagas|Lagoa
R$ 680.000|3 quartos | 160m² |R$ 1.165 | 2 vagas|Olaria
R$ 2.200.000|4 quartos | 368m² |R$ 0 | 2 vagas|Aponiã
R$ 320.000|3 quartos | 200m² |R$ 0 | 2 vagas|Agenor de Carvalho
R$ 338.000|4 quartos | 160m² |R$ 0 | 5 ou mais vagas|Eletronorte
R$ 450.000|3 quartos | | | 3 vagas|Cuniã
R$ 180.000|2 quartos | | | 1 vaga|Cuniã
R$ 220.000|3 quartos | | | 2 vagas|Cuniã
R$ 550.000|3 quartos | 105m² |R$ 0 | 2 vagas|Liberdade
R$ 1.350.000|4 quartos | 214m² | | 2 vagas|Agenor de Carvalho
R$ 190.000|2 quartos | 60m² |R$ 0| |Nova Esperança
R$ 179.000|3 quartos | 200m² | | 3 vagas|Castanheira
R$ 390.000|4 quartos | 264m² | | 2 vagas|São João Bosco
R$ 1.150.000|4 quartos | 450m² |R$ 650 | 4 vagas|Nova Esperança
R$ 700.000|5 ou mais quartos | 420m² |R$ 0 | 5 ou mais vagas|Agenor de Carvalho
R$ 1.500.000|5 ou mais quartos| | | |Olaria
R$ 1.780.000|4 quartos | 280m² |R$ 0| |Centro
R$ 450.000|3 quartos | 200m² |R$ 180| |Rio Madeira
R$ 475.000|3 quartos | 84m² |R$ 0 | 2 vagas|Lagoa
R$ 550.000|3 quartos | |R$ 350 | 2 vagas|Pedrinhas
R$ 80.000|2 quartos | | | 1 vaga|Ronaldo Aragão
R$ 350.000|3 quartos | 74m² |R$ 440 | 1 vaga|Rio Madeira
R$ 310.000|3 quartos | 72m² |R$ 450 | 1 vaga|Agenor de Carvalho
R$ 580.000|3 quartos | 96m² |R$ 650 | 2 vagas|São João Bosco
R$ 620.000|5 ou mais quartos | 438m² |R$ 0 | 4 vagas|Rio Madeira
R$ 269.999|4 quartos | 250m² | | 5 ou mais vagas|Juscelino Kubitschek
R$ 360.000|4 quartos | 250m² |R$ 0 | 2 vagas|Lagoinha
R$ 280.000|2 quartos| | | |Agenor de Carvalho
R$ 550.000|3 quartos | 84m² |R$ 0 | 2 vagas|Lagoa
R$ 600.000|3 quartos | 220m² |R$ 500 | 4 vagas|Aeroclube
